# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
225.0 225.0 225.0 225.0 225.0 225.0 25.0 25.0 25.0 25.0 25.0 25.0 6.1 6.4 6.0 6.3 6.2 6.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 25.0 25.0 25.0 25.0 25.0 25.0 5.1 5.1 5.0 5.2 5.1 5.1 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 25.0 25.0 25.0 25.0 25.0 25.0 4.3 4.4 4.3 4.4 4.4 4.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 25.0 25.0 25.0 25.0 25.0 25.0 3.8 3.9 3.8 3.9 3.8 3.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 35.0 35.0 35.0 35.0 35.0 35.0 100.0 100.0 100.0 100.0 100.0 100.0 1.30e+01 1.21e+01 1.17e+01 1.07e+01 1.27e+01 1.18e+01
10.0 10.0 10.0 10.0 10.0 10.0 35.0 35.0 35.0 35.0 35.0 35.0 200.0 200.0 200.0 200.0 200.0 200.0 1.29e+01 1.17e+01 1.18e+01 1.08e+01 1.20e+01 1.32e+01
15.0 15.0 15.0 15.0 15.0 15.0 35.0 35.0 35.0 35.0 35.0 35.0 300.0 300.0 300.0 300.0 300.0 300.0 1.35e+01 1.26e+01 1.17e+01 1.16e+01 1.20e+01 1.29e+01
20.0 20.0 20.0 20.0 20.0 20.0 35.0 35.0 35.0 35.0 35.0 35.0 400.0 400.0 400.0 400.0 400.0 400.0 1.30e+01 1.31e+01 1.22e+01 1.18e+01 1.22e+01 1.30e+01
25.0 25.0 25.0 25.0 25.0 25.0 35.0 35.0 35.0 35.0 35.0 35.0 500.0 500.0 500.0 500.0 500.0 500.0 1.36e+01 1.27e+01 1.20e+01 1.19e+01 1.22e+01 1.30e+01
35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 700.0 700.0 700.0 700.0 700.0 700.0 1.29e+01 1.25e+01 1.22e+01 1.20e+01 1.24e+01 1.33e+01
