# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
35.0 35.0 35.0 35.0 35.0 35.0 45.0 45.0 45.0 45.0 45.0 45.0 0.4 0.2 0.6 0.2 0.3 0.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 45.0 0.4 0.1 0.3 0.3 0.3 0.5 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
55.0 55.0 55.0 55.0 55.0 55.0 45.0 45.0 45.0 45.0 45.0 45.0 0.6 0.2 0.3 0.5 0.3 0.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
65.0 65.0 65.0 65.0 65.0 65.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.1 0.2 0.4 0.3 0.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
75.0 75.0 75.0 75.0 75.0 75.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.1 0.2 0.4 0.9 0.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
85.0 85.0 85.0 85.0 85.0 85.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.1 0.2 0.4 0.9 0.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
95.0 95.0 95.0 95.0 95.0 95.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.2 0.2 0.3 0.9 0.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
105.0 105.0 105.0 105.0 105.0 105.0 45.0 45.0 45.0 45.0 45.0 45.0 0.5 0.2 0.3 0.3 0.5 0.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
115.0 115.0 115.0 115.0 115.0 115.0 45.0 45.0 45.0 45.0 45.0 45.0 0.4 0.2 0.4 0.3 0.5 0.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
125.0 125.0 125.0 125.0 125.0 125.0 45.0 45.0 45.0 45.0 45.0 45.0 0.4 0.2 0.4 0.3 0.6 0.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
