# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
45.0 45.0 45.0 45.0 45.0 45.0 25.0 25.0 25.0 25.0 25.0 25.0 900.0 900.0 900.0 5.2 900.0 900.0 1.37e+01 1.22e+01 1.68e+01 1.00e+00 1.15e+01 9.80e+00
55.0 55.0 55.0 55.0 55.0 55.0 25.0 25.0 25.0 25.0 25.0 25.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.44e+01 1.16e+01 1.40e+01 1.25e+01 1.22e+01 1.17e+01
65.0 65.0 65.0 65.0 65.0 65.0 25.0 25.0 25.0 25.0 25.0 25.0 1300.0 1300.0 1300.0 1300.0 1300.0 1300.0 1.30e+01 1.19e+01 1.30e+01 1.26e+01 1.25e+01 1.14e+01
75.0 75.0 75.0 75.0 75.0 75.0 25.0 25.0 25.0 25.0 25.0 25.0 475.8 348.0 475.8 348.0 475.8 475.8 4.30e+00 2.78e+00 3.73e+00 3.03e+00 4.12e+00 3.59e+00
85.0 85.0 85.0 85.0 85.0 85.0 25.0 25.0 25.0 25.0 25.0 25.0 249.9 154.2 208.8 208.8 178.0 208.8 1.78e+00 1.14e+00 1.49e+00 1.51e+00 1.34e+00 1.44e+00
95.0 95.0 95.0 95.0 95.0 95.0 25.0 25.0 25.0 25.0 25.0 25.0 172.3 107.3 133.7 133.7 119.4 133.7 1.04e+00 7.11e-01 8.46e-01 8.17e-01 7.99e-01 8.12e-01
105.0 105.0 105.0 105.0 105.0 105.0 25.0 25.0 25.0 25.0 25.0 25.0 107.2 74.6 88.8 88.8 88.8 88.8 6.42e-01 4.63e-01 4.95e-01 5.15e-01 5.38e-01 4.93e-01
115.0 115.0 115.0 115.0 115.0 115.0 25.0 25.0 25.0 25.0 25.0 25.0 81.8 59.7 64.4 75.3 64.4 69.6 4.52e-01 3.29e-01 3.48e-01 3.78e-01 3.70e-01 3.67e-01
125.0 125.0 125.0 125.0 125.0 125.0 25.0 25.0 25.0 25.0 25.0 25.0 64.9 48.9 56.2 60.3 56.2 60.3 3.31e-01 2.48e-01 2.75e-01 2.87e-01 2.91e-01 2.99e-01
150.0 150.0 150.0 150.0 150.0 150.0 25.0 25.0 25.0 25.0 25.0 25.0 45.2 36.4 42.7 45.2 42.7 42.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 25.0 25.0 25.0 25.0 25.0 25.0 2.4 23.3 26.9 28.6 28.6 27.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 25.0 25.0 25.0 25.0 25.0 25.0 15.7 14.4 15.2 19.0 16.2 16.0 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 25.0 25.0 25.0 25.0 25.0 25.0 11.6 9.7 12.2 11.5 11.0 11.8 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 25.0 25.0 25.0 25.0 25.0 25.0 9.1 8.0 9.2 9.5 8.4 8.9 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 25.0 25.0 25.0 25.0 25.0 25.0 7.4 6.4 7.7 7.7 7.2 7.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 25.0 25.0 25.0 25.0 25.0 25.0 6.2 5.6 6.5 6.3 6.0 6.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 35.0 35.0 35.0 35.0 35.0 35.0 100.0 100.0 100.0 100.0 100.0 100.0 1.80e+01 2.49e+01 2.49e+01 1.26e+01 1.86e+01 3.59e+01
10.0 10.0 10.0 10.0 10.0 10.0 35.0 35.0 35.0 35.0 35.0 35.0 200.0 200.0 200.0 200.0 200.0 200.0 1.45e+01 1.17e+01 1.10e+01 1.45e+01 1.57e+01 1.25e+01
15.0 15.0 15.0 15.0 15.0 15.0 35.0 35.0 35.0 35.0 35.0 35.0 300.0 300.0 300.0 300.0 300.0 300.0 1.30e+01 1.01e+01 1.03e+01 1.42e+01 1.44e+01 1.65e+01
20.0 20.0 20.0 20.0 20.0 20.0 35.0 35.0 35.0 35.0 35.0 35.0 400.0 400.0 400.0 400.0 400.0 400.0 1.16e+01 1.28e+01 1.06e+01 1.29e+01 1.40e+01 1.63e+01
25.0 25.0 25.0 25.0 25.0 25.0 35.0 35.0 35.0 35.0 35.0 35.0 500.0 500.0 500.0 500.0 500.0 500.0 1.24e+01 1.37e+01 8.95e+00 1.34e+01 1.36e+01 2.00e+01
35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 700.0 700.0 700.0 700.0 700.0 700.0 1.36e+01 1.31e+01 8.59e+00 1.18e+01 1.55e+01 1.64e+01
45.0 45.0 45.0 45.0 45.0 45.0 35.0 35.0 35.0 35.0 35.0 35.0 900.0 900.0 900.0 900.0 900.0 900.0 1.31e+01 1.40e+01 1.02e+01 1.31e+01 1.38e+01 1.53e+01
55.0 55.0 55.0 55.0 55.0 55.0 35.0 35.0 35.0 35.0 35.0 35.0 1100.0 1100.0 1100.0 1100.0 1100.0 1100.0 1.39e+01 1.42e+01 1.01e+01 1.27e+01 1.41e+01 1.48e+01
65.0 65.0 65.0 65.0 65.0 65.0 35.0 35.0 35.0 35.0 35.0 35.0 1300.0 1300.0 1300.0 1300.0 1300.0 1300.0 1.37e+01 1.45e+01 1.09e+01 1.24e+01 1.43e+01 1.50e+01
75.0 75.0 75.0 75.0 75.0 75.0 35.0 35.0 35.0 35.0 35.0 35.0 348.0 348.0 184.2 475.8 348.0 475.8 3.16e+00 3.23e+00 1.36e+00 3.81e+00 3.20e+00 4.71e+00
85.0 85.0 85.0 85.0 85.0 85.0 35.0 35.0 35.0 35.0 35.0 35.0 208.8 178.0 208.8 208.8 154.2 249.9 1.77e+00 1.41e+00 1.43e+00 1.43e+00 1.29e+00 2.12e+00
95.0 95.0 95.0 95.0 95.0 95.0 35.0 35.0 35.0 35.0 35.0 35.0 119.4 119.4 133.7 119.4 107.3 133.7 8.60e-01 7.98e-01 8.33e-01 7.94e-01 7.85e-01 9.79e-01
105.0 105.0 105.0 105.0 105.0 105.0 35.0 35.0 35.0 35.0 35.0 35.0 107.2 81.3 97.3 88.8 74.6 97.3 6.92e-01 4.92e-01 5.63e-01 5.28e-01 4.63e-01 6.00e-01
115.0 115.0 115.0 115.0 115.0 115.0 35.0 35.0 35.0 35.0 35.0 35.0 81.8 64.4 75.3 69.6 64.4 75.3 4.68e-01 3.54e-01 3.88e-01 3.79e-01 3.60e-01 4.24e-01
125.0 125.0 125.0 125.0 125.0 125.0 35.0 35.0 35.0 35.0 35.0 35.0 64.9 52.4 64.9 60.3 56.2 64.9 3.41e-01 2.76e-01 3.00e-01 3.09e-01 2.87e-01 3.33e-01
